Subject,Stat_Eff_AUC,Stat_SWP_AUC,Stat_Clust_AUC,Stat_Stre_AUC,Stat_Betw_AUC,Stat_Part_AUC,Dyn_EffVar_AUC,Dyn_MeanBOLD_Var,Dyn_MeanEdge_Var
Subj_83,-0.19267941794608562,0.5362393741846608,0.07755822417108216,-0.31491606792165616,0.8116997654440832,-1.512198712494136,-0.4587553262837962,-0.3923864523466068,-0.024303355944031598
Subj_84,0.9201958238620475,-0.5037505250358422,0.43262769335468715,0.8272206080059943,-1.2045354375814632,0.9161252996685252,0.7999416712459255,1.4727165017520307,0.4155455978949813
Subj_85,0.17037017207258248,-1.13850744934249,0.29577667808510094,0.4023623877065876,0.36542750143729413,-0.9418928783326809,0.512921150105917,0.5236321278531305,0.20452907705971174
Subj_86,1.6297487948381744,-1.347693908482511,2.071169134920099,1.6026644497126825,-0.5847352856999355,0.1779735342307242,1.7405009748820828,1.5169200789201562,1.4943425078793875
Subj_87,0.007463552869779862,0.0647131352852031,0.3410047461869486,0.04720311237158141,-0.3359536435024876,-1.725543737876032,0.5350207678551608,-0.2938804272947652,-0.019057200891072355
Subj_88,2.8067686481704333,-2.6183605655516144,3.0482922888579393,3.052709268872966,-1.4171037346754938,0.48066742736974066,2.969197970687533,2.003744638117934,2.159068203290453
Subj_89,-1.9024526562740034,0.7776908458304134,-0.909732083343516,-1.5420322525260584,1.481310094605402,-0.42088730784134387,-1.5362790008712028,-1.447406110760623,-1.9996865541957365
Subj_90,-0.80850835108213,0.722308688599681,-0.48042756725365976,-0.8938618689941479,0.18799557264062822,0.39356446339935847,-1.0863448543261367,-1.1837195333205976,-0.9911812500405779
Subj_91,-0.2085328198332726,0.46022952127226235,0.7449078822972729,-0.2658752238929371,2.2930813621652653,-1.922779147030351,-0.9306818003687789,-0.07720042490355558,0.04300157675047729
Subj_92,-0.5917714634380896,0.3153005140062384,-0.6099981160677087,-0.49988011253353826,-0.04813159208574004,-0.11703509900482544,0.1255443347316087,-0.729651724154842,-0.6584867362775636
Subj_93,0.2505464849655485,0.4662296855168989,0.0012907218970099126,0.028616752787849434,0.17561033937105835,-0.15658854659764168,0.003764582262035465,0.516031908063356,0.8000879419029779
Subj_94,-0.36395922816022364,0.7521068277825023,-0.8609307348306553,-0.5414086779457058,1.4298844521165366,0.35910748554954575,-0.7449302283922458,0.48245605141204445,-0.09473680048368499
Subj_95,-0.9286319912399255,0.9668974166255028,-0.7889576701188354,-1.0847054763929114,0.19782298599583345,-0.6757396447536711,-1.1495776045399644,-0.6240010604030788,-0.35457971773496694
Subj_96,-0.3876523685946884,0.6798533240724228,0.47110742455201005,-0.3793597483669598,1.2568950526448253,-0.8675428722610721,-0.8252831137775498,0.07227526100764356,-0.36042491638751045
Subj_97,0.534372649684708,0.916610586302449,-0.4130837722057863,0.08788937168795831,1.8477514528637666,-1.3351767491422633,-0.013997934917098045,1.4496265249070825,1.0220856632914304
Subj_98,1.4647934919352146,-0.9749276182354727,1.2527154330128711,1.2703006302975304,-0.39276417002160185,0.5330686074879416,1.2837063499315187,1.8759142203584838,1.2751103032217235
Subj_99,-0.2349861987698357,0.9972448210204017,0.01895548666226702,-0.5069198354122455,0.9794389029863045,-1.2318430809311147,-0.7640158215817278,0.5599527431530319,0.12340379673510728
Subj_100,-0.8092285935010706,0.6982569235495635,-0.9913902489386436,-0.8240896384819038,0.9335327666284425,-0.2457599349099996,-1.0748476045981141,0.2109034202679528,-1.1328113538818256
Subj_101,0.9141137617710976,-0.7360066591547408,1.0021016195054413,0.9092603903327519,-0.6244488054230116,-1.4373798575694083,1.431580440106878,1.2946218693156661,0.7021071592332109
Subj_102,-1.826361306292636,0.9305213160441665,-1.5144116097708757,-1.6247773853212313,0.2915199681221436,0.8720248992911253,-1.264798154289772,-1.1646828191617045,-1.5859707061941757
Subj_103,-0.1449692471270246,-0.5102406689880649,-0.22059898707399844,0.03928508398121149,-0.24050657406634232,-0.500980029099957,0.5305226604958959,-0.7147988412830163,-0.37730457697058345
Subj_104,0.5266653059181563,0.15689344543512693,-1.0220582974049623,0.2773041527879114,-0.8609798364516484,1.576497088485727,0.08338122846706766,0.5794431597168748,-0.4576625737874241
Subj_105,0.871333341696423,-1.1847363803577307,0.6295084761628454,1.0066445032893245,-1.3512735274057135,0.3147389552771046,2.0534004552644496,0.29634413113662994,1.2512352324802447
Subj_106,-1.6063178443873363,0.6143386115973243,-1.8627537800785383,-1.389808640181941,0.6514994655442103,-1.1343486656240829,-1.2335627332971022,-2.0326084747653663,-1.498212031924133
Subj_107,-0.7909240953908191,0.667339181334242,-1.0125632397067819,-0.7787903895701201,-0.21815930534081232,0.6076241285999365,-0.9442073931926419,-0.6337645858628408,-1.1040505607943982
Subj_108,0.59749617674411,-1.9150644266804624,-0.15933408854149478,0.9782413107395217,0.20159240481700388,-0.34453463254847255,1.0070201758656205,-0.22597066463231474,0.409819897540218
Subj_109,-0.11663217571152805,0.7231490719923573,-0.46970140053168435,-0.2777798087060484,0.06966274607593137,-1.7713467132706389,0.18684492230748145,-0.20813161210139886,0.25884801070868624
Subj_110,0.16565061741183806,0.6693310547907083,-0.36058344361975253,-0.0985455580323344,0.04866169835796784,-1.3511236087699745,-0.3974934338368556,0.31900107111060133,0.5098778999544721
Subj_111,-0.9040829498417894,0.6189205592481197,-1.6771124721416182,-0.9715073227324311,0.4886067236292142,0.21082862500255165,-0.6721704571877203,-0.40653013166617924,-0.6503277671581595
Subj_112,-0.5660287963366786,1.1256302671399534,-0.36545732241279427,-0.6679783494552678,1.3623041575369248,-0.5945204972725595,-0.826063226047925,-0.3859923482668895,-0.4408362942366457
Subj_113,-0.6852887637085456,0.56597969373719,-0.3366303192923255,-0.6756107070176453,0.7657936290862232,0.28420577980601364,-0.5876741241442529,0.11695038808733181,-0.7816743622438775
Subj_114,0.6666951122823144,-0.43546213510512727,0.40670970844903787,0.5970791372193031,-0.7678213427283638,1.1012536173795338,0.8144320807851884,0.5861312779844816,0.39503291370022847
